overlaps_nd,,16,,,16
geom2d_brin_inclusion_add_value,,16,,,16
geom3d_brin_inclusion_add_value,,16,,,16
geom4d_brin_inclusion_add_value,,16,,,16
st_metadata,"{rast,upperleftx,upperlefty,width,height,scalex,scaley,skewx,skewy,srid,numbands}",2249,,,2249
st_band,"{rast,nband}",90744,,,90744
st_summarystats,"{rastertable,rastercolumn,exclude_nodata_value}",90797,,,90797
_st_concavehull,{param_inputgeom},89860,,,89860
st_concavehull,"{param_geom,param_pctconvex,param_allow_holes}",89860,,,89860
_st_asx3d,,25,,,25
st_asx3d,"{geom,maxdecimaldigits,options}",25,,,25
raster_in,,90744,,,90744
raster_out,,2275,,,2275
postgis_raster_lib_version,,25,,,25
postgis_raster_scripts_installed,,25,,,25
postgis_raster_lib_build_date,,25,,,25
postgis_gdal_version,,25,,,25
st_envelope,,89860,,,89860
st_convexhull,,89860,,,89860
st_minconvexhull,"{rast,nband}",89860,,,89860
box3d,,89887,,,89887
st_height,,23,,,23
st_numbands,,23,,,23
st_scalex,,701,,,701
st_scaley,,701,,,701
st_skewx,,701,,,701
st_skewy,,701,,,701
st_srid,,23,,,23
st_upperleftx,,701,,,701
st_upperlefty,,701,,,701
st_width,,23,,,23
st_pixelwidth,,701,,,701
st_pixelheight,,701,,,701
st_geotransform,"{"",imag,jmag,theta_i,theta_ij,xoffset,yoffset}",2249,,,2249
st_rotation,,701,,,701
st_summary,{rast},25,,,25
st_memsize,,23,,,23
st_makeemptyraster,"{width,height,upperleftx,upperlefty,scalex,scaley,skewx,skewy,srid}",90744,,,90744
st_makeemptyraster,"{width,height,upperleftx,upperlefty,pixelsize}",90744,,,90744
st_makeemptyraster,{rast},90744,,,90744
st_addband,"{rast,addbandargset}",90744,,,90744
st_addband,"{rast,index,pixeltype,initialvalue,nodataval}",90744,,,90744
st_addband,"{rast,pixeltype,initialvalue,nodataval}",90744,,,90744
st_addband,"{torast,fromrast,fromband,torastindex}",90744,,,90744
st_addband,"{torast,fromrasts,fromband,torastindex}",90744,,,90744
st_addband,"{rast,index,outdbfile,outdbindex,nodataval}",90744,,,90744
st_addband,"{rast,outdbfile,outdbindex,index,nodataval}",90744,,,90744
st_band,"{rast,nbands}",90744,,,90744
st_band,"{rast,nbands,delimiter}",90744,,,90744
_st_summarystats,"{rast,nband,exclude_nodata_value,sample_percent}",90797,,,90797
st_summarystats,"{rast,nband,exclude_nodata_value}",90797,,,90797
st_summarystats,"{rast,exclude_nodata_value}",90797,,,90797
